epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4874,1.24644,4.36035,1.53429,0.99446,0.5,0.8969,0.53357,1.26208,4.8433,1.46249,0.0002875,0.0002875,0.0002875
2,20.938,1.43222,3.46969,1.63697,0.99446,0.5,0.8969,0.53357,1.26208,4.8433,1.46249,0.000581684,0.000581684,0.000581684
3,28.1775,1.9169,4.9076,1.87989,0.07845,0.33333,0.06887,0.02112,2.9528,9.59435,2.97534,0.000869928,0.000869928,0.000869928
4,35.005,2.1908,5.41104,2.13927,0.07845,0.33333,0.06887,0.02112,2.9528,9.59435,2.97534,0.00115223,0.00115223,0.00115223
5,42.2662,2.31647,4.82945,2.18378,0.07845,0.33333,0.06887,0.02112,2.9528,9.59435,2.97534,0.0012005,0.0012005,0.0012005
6,49.508,3.00167,4.67671,2.98562,0,0,0,0,3.12709,21.8269,4.42357,0.00118812,0.00118812,0.00118812
7,57.3735,3.17885,4.319,3.22761,0,0,0,0,3.12709,21.8269,4.42357,0.00117575,0.00117575,0.00117575
8,64.5174,2.88263,4.65932,3.07034,0.58568,0.33333,0.30289,0.09835,2.10036,36.2751,2.53495,0.00116337,0.00116337,0.00116337
9,71.6008,2.69681,4.57049,2.72911,0.58568,0.33333,0.30289,0.09835,2.10036,36.2751,2.53495,0.001151,0.001151,0.001151
10,78.6486,2.72439,5.13346,2.68379,0.58568,0.33333,0.30289,0.09835,2.10036,36.2751,2.53495,0.00113863,0.00113863,0.00113863
11,85.9987,2.71463,4.98293,2.64445,0,0,0,0,3.20369,24.576,4.42553,0.00112625,0.00112625,0.00112625
12,93.0674,2.48662,4.15228,2.51996,0,0,0,0,3.20369,24.576,4.42553,0.00111388,0.00111388,0.00111388
13,100.423,2.42731,4.32368,2.4604,0,0,0,0,3.20369,24.576,4.42553,0.0011015,0.0011015,0.0011015
14,107.663,2.3176,3.6226,2.42967,0.50402,0.5,0.01133,0.00512,1.90412,5.9579,2.48691,0.00108913,0.00108913,0.00108913
15,114.777,2.43264,3.38486,2.39581,0.50402,0.5,0.01133,0.00512,1.90412,5.9579,2.48691,0.00107675,0.00107675,0.00107675
16,121.634,2.37063,3.95042,2.4214,0.03946,0.91667,0.36747,0.10875,2.60437,11.1147,4.85398,0.00106437,0.00106437,0.00106437
17,128.558,2.10819,4.51481,2.275,0.03946,0.91667,0.36747,0.10875,2.60437,11.1147,4.85398,0.001052,0.001052,0.001052
18,135.643,2.32043,5.39911,2.46727,0.03946,0.91667,0.36747,0.10875,2.60437,11.1147,4.85398,0.00103962,0.00103962,0.00103962
19,142.903,2.13739,3.93652,2.30458,0.53428,0.25,0.05892,0.01423,2.37452,4.65389,4.12434,0.00102725,0.00102725,0.00102725
20,150.02,2.2087,3.26477,2.38743,0.53428,0.25,0.05892,0.01423,2.37452,4.65389,4.12434,0.00101488,0.00101488,0.00101488
21,157.033,2.06153,3.45084,2.16159,0.53428,0.25,0.05892,0.01423,2.37452,4.65389,4.12434,0.0010025,0.0010025,0.0010025
22,164.039,2.17762,3.20971,2.32327,0.5736,0.33333,0.4542,0.17195,2.39526,6.87653,4.05316,0.000990125,0.000990125,0.000990125
23,170.922,2.01554,3.12718,2.12181,0.5736,0.33333,0.4542,0.17195,2.39526,6.87653,4.05316,0.00097775,0.00097775,0.00097775
24,178.197,2.13241,2.9556,2.3196,0.4154,0.48559,0.43732,0.18794,2.59774,4.43661,3.26496,0.000965375,0.000965375,0.000965375
25,185.429,2.1679,2.88185,2.30757,0.4154,0.48559,0.43732,0.18794,2.59774,4.43661,3.26496,0.000953,0.000953,0.000953
26,192.613,2.23962,2.95105,2.26755,0.4154,0.48559,0.43732,0.18794,2.59774,4.43661,3.26496,0.000940625,0.000940625,0.000940625
27,199.865,2.03066,2.63933,2.28228,0.88878,0.33333,0.3012,0.05827,1.70685,3.50759,2.06445,0.00092825,0.00092825,0.00092825
28,206.899,1.86,2.53879,2.09115,0.88878,0.33333,0.3012,0.05827,1.70685,3.50759,2.06445,0.000915875,0.000915875,0.000915875
29,213.928,1.77916,2.489,2.05724,0.88878,0.33333,0.3012,0.05827,1.70685,3.50759,2.06445,0.0009035,0.0009035,0.0009035
30,221.051,1.77156,2.55255,1.89975,0.95957,0.33333,0.83884,0.37904,1.55094,2.80713,1.86604,0.000891125,0.000891125,0.000891125
31,228.402,1.90164,2.45184,1.97734,0.95957,0.33333,0.83884,0.37904,1.55094,2.80713,1.86604,0.00087875,0.00087875,0.00087875
32,235.425,1.70445,2.28954,1.89907,0.66467,0.79741,0.88464,0.56372,1.54951,1.86825,1.77121,0.000866375,0.000866375,0.000866375
33,242.669,1.7484,2.06645,1.94655,0.66467,0.79741,0.88464,0.56372,1.54951,1.86825,1.77121,0.000854,0.000854,0.000854
34,249.864,1.7642,2.13784,2.00432,0.66467,0.79741,0.88464,0.56372,1.54951,1.86825,1.77121,0.000841625,0.000841625,0.000841625
35,257.343,1.61342,2.36309,1.85718,0.63547,0.79964,0.76406,0.39767,1.53263,2.89786,1.82116,0.00082925,0.00082925,0.00082925
36,264.786,1.65318,2.47755,1.84686,0.63547,0.79964,0.76406,0.39767,1.53263,2.89786,1.82116,0.000816875,0.000816875,0.000816875
37,272.202,1.69673,2.65249,1.91285,0.63547,0.79964,0.76406,0.39767,1.53263,2.89786,1.82116,0.0008045,0.0008045,0.0008045
38,279.481,1.81484,2.2878,2.0194,0.60047,0.77036,0.71449,0.36832,1.68482,3.01282,1.9759,0.000792125,0.000792125,0.000792125
39,286.518,1.65801,2.18268,1.94748,0.60047,0.77036,0.71449,0.36832,1.68482,3.01282,1.9759,0.00077975,0.00077975,0.00077975
40,293.625,1.75162,2.17367,1.92273,0.73541,0.83333,0.81644,0.43278,1.64301,2.25615,2.06183,0.000767375,0.000767375,0.000767375
41,300.865,1.52689,1.65833,1.72928,0.73541,0.83333,0.81644,0.43278,1.64301,2.25615,2.06183,0.000755,0.000755,0.000755
42,308.261,1.59166,1.83199,1.78022,0.73541,0.83333,0.81644,0.43278,1.64301,2.25615,2.06183,0.000742625,0.000742625,0.000742625
43,315.791,1.59355,1.8567,1.84997,0.76168,0.83333,0.84904,0.49562,1.61558,1.6745,1.97813,0.00073025,0.00073025,0.00073025
44,322.861,1.58137,1.8036,1.7853,0.76168,0.83333,0.84904,0.49562,1.61558,1.6745,1.97813,0.000717875,0.000717875,0.000717875
45,329.632,1.60558,1.79561,1.83191,0.76168,0.83333,0.84904,0.49562,1.61558,1.6745,1.97813,0.0007055,0.0007055,0.0007055
46,336.512,1.44386,1.60182,1.74446,0.72638,0.68929,0.85124,0.56674,1.50353,1.829,1.852,0.000693125,0.000693125,0.000693125
47,343.444,1.42218,1.59913,1.68763,0.72638,0.68929,0.85124,0.56674,1.50353,1.829,1.852,0.00068075,0.00068075,0.00068075
48,350.121,1.46598,1.59326,1.68703,0.67393,0.67499,0.85911,0.5723,1.39102,1.86896,1.68662,0.000668375,0.000668375,0.000668375
49,357.448,1.41195,1.61008,1.71071,0.67393,0.67499,0.85911,0.5723,1.39102,1.86896,1.68662,0.000656,0.000656,0.000656
50,364.545,1.45009,1.42236,1.80796,0.67393,0.67499,0.85911,0.5723,1.39102,1.86896,1.68662,0.000643625,0.000643625,0.000643625
51,371.684,1.23235,2.05762,1.47017,0.85196,0.67409,0.89365,0.58016,1.41082,1.73918,1.68742,0.00063125,0.00063125,0.00063125
52,378.779,1.43071,1.51276,1.73141,0.85196,0.67409,0.89365,0.58016,1.41082,1.73918,1.68742,0.000618875,0.000618875,0.000618875
53,385.811,1.47718,1.43491,1.7159,0.85196,0.67409,0.89365,0.58016,1.41082,1.73918,1.68742,0.0006065,0.0006065,0.0006065
54,392.768,1.48366,1.56022,1.66871,0.90696,0.87734,0.94883,0.69763,1.3815,1.23066,1.7273,0.000594125,0.000594125,0.000594125
55,400.112,1.57638,1.55141,1.7533,0.90696,0.87734,0.94883,0.69763,1.3815,1.23066,1.7273,0.00058175,0.00058175,0.00058175
56,407.41,1.36541,1.5186,1.58567,0.97932,0.83333,0.90839,0.63831,1.44415,1.26852,1.76301,0.000569375,0.000569375,0.000569375
57,414.269,1.34179,1.4408,1.60635,0.97932,0.83333,0.90839,0.63831,1.44415,1.26852,1.76301,0.000557,0.000557,0.000557
58,420.985,1.3867,1.40513,1.62116,0.97932,0.83333,0.90839,0.63831,1.44415,1.26852,1.76301,0.000544625,0.000544625,0.000544625
59,427.963,1.35469,1.32582,1.54133,0.95005,0.90989,0.94929,0.68631,1.31011,1.11584,1.64,0.00053225,0.00053225,0.00053225
60,435.135,1.39795,1.4318,1.61815,0.95005,0.90989,0.94929,0.68631,1.31011,1.11584,1.64,0.000519875,0.000519875,0.000519875
61,442.315,1.36946,1.27399,1.59626,0.95005,0.90989,0.94929,0.68631,1.31011,1.11584,1.64,0.0005075,0.0005075,0.0005075
62,449.364,1.23311,1.26895,1.46677,0.98498,0.90947,0.975,0.62665,1.36653,1.13293,1.59527,0.000495125,0.000495125,0.000495125
63,456.415,1.26597,1.29624,1.5146,0.98498,0.90947,0.975,0.62665,1.36653,1.13293,1.59527,0.00048275,0.00048275,0.00048275
64,463.446,1.26413,1.47485,1.49868,0.97317,0.99107,0.995,0.67169,1.32768,1.23715,1.50135,0.000470375,0.000470375,0.000470375
65,470.253,1.24805,1.15672,1.51653,0.97317,0.99107,0.995,0.67169,1.32768,1.23715,1.50135,0.000458,0.000458,0.000458
66,477.489,1.31602,1.18226,1.57088,0.97317,0.99107,0.995,0.67169,1.32768,1.23715,1.50135,0.000445625,0.000445625,0.000445625
67,485.015,1.1351,1.0924,1.40954,0.95183,1,0.995,0.71125,1.22408,1.04912,1.4708,0.00043325,0.00043325,0.00043325
68,492.565,1.23853,1.22129,1.51834,0.95183,1,0.995,0.71125,1.22408,1.04912,1.4708,0.000420875,0.000420875,0.000420875
69,499.868,1.28521,1.21907,1.5347,0.95183,1,0.995,0.71125,1.22408,1.04912,1.4708,0.0004085,0.0004085,0.0004085
70,506.99,1.17007,1.14199,1.40634,0.9416,0.99901,0.995,0.71215,1.1352,0.92186,1.38871,0.000396125,0.000396125,0.000396125
71,514.468,1.21081,1.01597,1.48437,0.9416,0.99901,0.995,0.71215,1.1352,0.92186,1.38871,0.00038375,0.00038375,0.00038375
72,521.697,1.04656,1.2383,1.35784,0.93973,0.99518,0.995,0.72602,1.11092,0.76918,1.31139,0.000371375,0.000371375,0.000371375
